idx,station_name,station_id,camera_name,camera_ipaddr,nvr_rtsp_url,manufacturer,model,status
655,신기,106,PSD-U1-1,7.106.3.241,rtsp://7.106.3.22:4515/7ae1b7fa-e805-4a06-896c-d1e12455adad/1/media.smp,,,
657,신기,106,PSD-U1-2,7.106.3.242,rtsp://7.106.3.22:4515/e68ff66a-a1c9-4b37-ae71-35f986ccdf45/1/media.smp,,,
659,신기,106,PSD-U2-1,7.106.3.243,rtsp://7.106.3.22:4515/2e62f832-e719-4c24-9a73-13024946b5e2/1/media.smp,,,
661,신기,106,PSD-U2-2,7.106.3.244,rtsp://7.106.3.22:4515/054483c7-1354-4dbf-9e39-eb3c0187b0d5/1/media.smp,,,
663,신기,106,PSD-D1-1,7.106.3.245,rtsp://7.106.3.22:4515/26adc6f5-6f72-43ef-aa7d-ddcaa5fd6c1d/1/media.smp,,,
665,신기,106,PSD-D1-2,7.106.3.246,rtsp://7.106.3.22:4515/c8ec8d8c-40d0-4ea7-9eec-01d5a348139a/1/media.smp,,,
667,신기,106,PSD-D2-1,7.106.3.247,rtsp://7.106.3.22:4515/b72a08e4-3daa-4f95-8670-298cd7f18188/1/media.smp,,,
669,신기,106,PSD-D2-2,7.106.3.248,rtsp://7.106.3.22:4515/d71fc350-8ea8-4db9-aff9-1700153da444/1/media.smp,,,
671,신기,106,P-U1,7.106.3.101,rtsp://7.106.3.22:4515/5b65e07b-a49f-4a43-b07b-dc8d208ebef9/1/media.smp,,,
673,신기,106,P-U2,7.106.3.102,rtsp://7.106.3.22:4515/937a442d-063c-4281-9fe8-c41ff4544d81/1/media.smp,,,
675,신기,106,P-D1,7.106.3.111,rtsp://7.106.3.22:4515/4815156e-bac0-4ea6-a89a-50e0edccf780/1/media.smp,,,
677,신기,106,P-D2,7.106.3.112,rtsp://7.106.3.22:4515/49a409cc-8f58-419d-a8ef-5ce28386e78f/1/media.smp,,,
679,신기,106,하선 출입구(상행),7.106.3.131,rtsp://7.106.3.22:4515/a068c29b-d10a-4783-8827-355b5f026d1b/1/media.smp,,,
681,신기,106,하선 출입구(하행),7.106.3.132,rtsp://7.106.3.22:4515/3f64323b-e067-4e81-aec5-ba3d066f0875/1/media.smp,,,
683,신기,106,출구-1,7.106.3.133,rtsp://7.106.3.22:4515/2adc501e-712c-4146-8d17-27344a02a5ab/1/media.smp,,,
685,신기,106,출구-2,7.106.3.134,rtsp://7.106.3.22:4515/8907f2f8-cfc3-4153-b7fe-ef42b75a97db/1/media.smp,,,
687,신기,106,G-1,7.106.3.151,rtsp://7.106.3.22:4515/492091ae-ca97-4baa-963d-443032eaa4a0/1/media.smp,,,
689,신기,106,G-2/수유실,7.106.3.152,rtsp://7.106.3.22:4515/e7c8a72c-3228-40d8-bdc9-7378c7a2c9d7/1/media.smp,,,
691,신기,106,전기실-1,7.106.3.236,rtsp://7.106.3.22:4515/865c39ce-58c2-434a-a55a-8e4e249efd73/1/media.smp,,,
693,신기,106,전기실-2,7.106.3.237,rtsp://7.106.3.22:4515/fc75e180-c3f4-436f-a2e4-2f9cf9331cdb/1/media.smp,,,
695,신기,106,통신기기실,7.106.3.238,rtsp://7.106.3.22:4515/7dd8f200-dbd2-4e97-8298-67ca91291154/1/media.smp,,,
697,신기,106,신호기기실,7.106.3.239,rtsp://7.106.3.22:4515/4f7b49e9-e9f1-42b4-9940-a1e1f8a5d805/1/media.smp,,,
699,신기,106,발매기,7.106.3.161,rtsp://7.106.3.22:4515/f34b140a-8d1b-476b-8fd7-0f1b01f79fb3/1/media.smp,,,
701,신기,106,발매기실,7.106.3.162,rtsp://7.106.3.22:4515/56b4e75b-f0c6-41ff-bd44-b61d0dae4861/1/media.smp,,,
703,신기,106,화장실,7.106.3.121,rtsp://7.106.3.22:4515/0f29fbe4-621f-4b7c-8103-55ff367c6731/1/media.smp,,,
705,신기,106,장애인 화장실,7.106.3.122,rtsp://7.106.3.22:4515/db29e893-50dc-4256-b1da-096044d79cc8/1/media.smp,,,
707,신기,106,E/L-1 대합(EL),7.106.3.202,rtsp://7.106.3.22:4515/fd72af7a-0da1-4778-be64-f0865e64aecf/1/media.smp,,,
709,신기,106,E/L-1 대합(게이트),7.106.3.202,rtsp://7.106.3.22:4515/9679d1e8-ce4a-4bbe-bb85-b57da14f4bec/1/media.smp,,,
