idx,station_name,station_id,camera_name,camera_ipaddr,nvr_rtsp_url,port,guid,channel,id,pw,type,use,nvr_ipaddr,broadcast_area,broadcast_id,cctv_id
1,차량기지,100,변전실-1,7.254.103.231,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
3,차량기지,100,변전실-2,7.254.103.232,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
5,차량기지,100,변전실-3,7.254.103.233,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
7,차량기지,100,공동구-1,7.254.103.120,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
9,차량기지,100,공동구-2,7.254.103.121,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
11,차량기지,100,주출입구-1,7.254.103.131,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
13,차량기지,100,부출입구-1,7.254.103.132,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
15,차량기지,100,부출입구-2,7.254.103.133,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
17,차량기지,100,부출입구-3,7.254.103.134,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
19,차량기지,100,정문출입구,7.254.103.41,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
21,차량기지,100,E/L-2·3호기-1층,7.254.103.201,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
23,차량기지,100,E/L-2·3호기-5층,7.254.103.202,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
25,차량기지,100,관제실입구-1,7.254.103.140,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
27,차량기지,100,지붕-1,7.254.103.141,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-001
29,차량기지,100,지붕-2,7.254.103.142,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-002
31,차량기지,100,본선 비상안내-11,7.254.103.81,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-003
33,차량기지,100,선로전환기-13,7.254.103.71,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-004
35,차량기지,100,선로전환기-14,7.254.103.72,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-005
37,차량기지,100,선로전환기-15,7.254.103.73,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-006
39,차량기지,100,집수정-3,7.254.103.83,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-007
41,차량기지,100,출도착(입출고선),7.254.103.150,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
43,차량기지,100,모터카고,7.254.103.154,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
45,차량기지,100,유치선-1,7.254.103.151,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
47,차량기지,100,유치선-2,7.254.103.152,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
49,차량기지,100,유치선-3,7.254.103.153,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
51,차량기지,100,세척기,7.254.103.155,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
53,차량기지,100,외곽 감시-1,7.254.103.42,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-008
55,차량기지,100,외곽 감시-2,7.254.103.43,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-009
57,차량기지,100,외곽 감시-3,7.254.103.44,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-010
59,차량기지,100,외곽 감시-4,7.254.103.45,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-011
61,차량기지,100,외곽 감시-5,7.254.103.46,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-012
63,차량기지,100,외곽 감시-6,7.254.103.47,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-013
65,차량기지,100,외곽 감시-7,7.254.103.48,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-014
67,차량기지,100,외곽 감시-8,7.254.103.49,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-015
69,차량기지,100,외곽 감시-9,7.254.103.50,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-016
71,차량기지,100,외곽 감시-10,7.254.103.51,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-017
73,차량기지,100,외곽 감시-11,7.254.103.52,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-018
75,차량기지,100,외곽 감시-12,7.254.103.53,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-019
77,차량기지,100,외곽 감시-13,7.254.103.54,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-020
79,차량기지,100,외곽 감시-14,7.254.103.55,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-021
81,차량기지,100,외곽 감시-15,7.254.103.56,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-022
83,차량기지,100,외곽 감시-16,7.254.103.57,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-023
85,차량기지,100,외곽 감시-17,7.254.103.58,,4515,,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-024
87,차량기지,100,출입구 감시,7.254.103.59,,4515,,3,admin,asdQWE12!@,,,7.254.3.25,,,
89,차량기지,100,종합기계실,7.254.3.99,rtsp://admin:asdQWE12!@@7.254.3.25:4515/b3b36f5e-2457-4d37-9956-2947fb1c5e52/3/media.smp,4515,b3b36f5e-2457-4d37-9956-2947fb1c5e52,3,admin,asdQWE12!@,TP,침입 감시,7.254.3.25,,,CCTV100-025
91,노포,101,PSD-U1-1,7.101.3.241,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
93,노포,101,PSD-U1-2,7.101.3.242,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
95,노포,101,PSD-U2-1,7.101.3.243,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
97,노포,101,PSD-U2-2,7.101.3.244,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
99,노포,101,PSD-D1-1,7.101.3.245,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
101,노포,101,PSD-D1-2,7.101.3.246,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
103,노포,101,PSD-D2-1,7.101.3.247,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
105,노포,101,PSD-D2-2,7.101.3.248,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
107,노포,101,PSD-M1-1,7.101.3.249,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
109,노포,101,PSD-M1-2,7.101.3.250,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
111,노포,101,PSD-M2-2,7.101.3.251,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
113,노포,101,P-U1,7.101.3.101,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,UF,1,CCTV101-001
115,노포,101,P-U2,7.101.3.102,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,UF,1,CCTV101-002
117,노포,101,P-U3,7.101.3.103,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,UF,1,CCTV101-003
119,노포,101,P-U4,7.101.3.104,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,UF,1,CCTV101-004
121,노포,101,P-D1,7.101.3.111,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,DP,1,CCTV101-005
123,노포,101,P-D2,7.101.3.112,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,DP,1,CCTV101-006
125,노포,101,P-D3,7.101.3.113,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,DP,1,CCTV101-007
127,노포,101,P-D4,7.101.3.114,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,DP,1,CCTV101-008
129,노포,101,상선 출입구(하행),7.101.3.131,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,UF,1,CCTV101-009
131,노포,101,하선 출입구(하행),7.101.3.132,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,DP,1,CCTV101-010
133,노포,101,G-1,7.101.3.151,,4515,,3,admin,asdQWE12!@,BC,자전거 휴대 탑승 감시,7.101.3.22,,,CCTV101-011
135,노포,101,G-2,7.101.3.152,,4515,,3,admin,asdQWE12!@,BC,자전거 휴대 탑승 감시,7.101.3.22,,,CCTV101-012
137,노포,101,G-3,7.101.3.153,,4515,,3,admin,asdQWE12!@,BC,자전거 휴대 탑승 감시,7.101.3.22,,,CCTV101-013
139,노포,101,환승통로-1,7.101.3.141,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,WR,1,CCTV101-014
141,노포,101,환승통로-2,7.101.3.142,,4515,,3,admin,asdQWE12!@,"DR,FT","쓰러짐, 싸움 감시",7.101.3.22,WR,1,CCTV101-015
143,노포,101,비상탈출통로-1,7.101.3.86,rtsp://admin:asdQWE12!@@7.101.3.22:4515/e64f9a4d-dc39-44c0-a0c8-bec215c4d799/3/media.smp,4515,e64f9a4d-dc39-44c0-a0c8-bec215c4d799,3,admin,asdQWE12!@,,,7.101.3.22,,,
145,노포,101,비상탈출통로-2,7.101.3.87,rtsp://admin:asdQWE12!@@7.101.3.22:4515/361fc7ce-d7ea-43e8-9536-8d75aa36d4d0/3/media.smp,4515,361fc7ce-d7ea-43e8-9536-8d75aa36d4d0,3,admin,asdQWE12!@,,,7.101.3.22,,,
147,노포,101,변전실-1,7.101.3.231,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
149,노포,101,변전실-2,7.101.3.232,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
151,노포,101,변전실-3,7.101.3.233,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
153,노포,101,변전실-4,7.101.3.234,,4515,,3,admin,asdQWE12!@,,,7.101.3.22,,,
