카메라고유번호,역사명,역사아이디,카메라명,카메라아이피,NVR RTSP주소,제조사명,모델명,장애상태코드
103001,내송,103,PSD-U1-1,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114590/2/media.smp,,,
103002,내송,103,PSD-U1-2,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114591/2/media.smp,,,
103003,내송,103,PSD-U2-1,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114592/2/media.smp,,,
103004,내송,103,PSD-U2-2,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114593/2/media.smp,,,
103005,내송,103,PSD-D1-1,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114594/2/media.smp,,,
103006,내송,103,PSD-D1-2,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114595/2/media.smp,,,
103007,내송,103,PSD-D2-1,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114596/2/media.smp,,,
103008,내송,103,PSD-D2-2,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114597/2/media.smp,,,
103009,내송,103,PSD-M1-1,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114598/2/media.smp,,,
103010,내송,103,PSD-M1-2,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114599/2/media.smp,,,
103011,내송,103,PSD-M2-2,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114600/2/media.smp,,,
103012,내송,103,P-U1,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114601/2/media.smp,,,
103013,내송,103,P-U2,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114602/2/media.smp,,,
103014,내송,103,P-U3,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114603/2/media.smp,,,
103015,내송,103,P-U4,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114604/2/media.smp,,,
103016,내송,103,P-D1,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114605/2/media.smp,,,
103017,내송,103,P-D2,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114606/2/media.smp,,,
103018,내송,103,P-D3,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114607/2/media.smp,,,
103019,내송,103,P-D4,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114608/2/media.smp,,,
103020,내송,103,상선 출입구(상행),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114609/2/media.smp,,,
103021,내송,103,상선 출입구(하행),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114610/2/media.smp,,,
103022,내송,103,하선 출입구(상행),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114611/2/media.smp,,,
103023,내송,103,하선 출입구(하행),7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114612/2/media.smp,,,
103024,내송,103,출구-1,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114613/2/media.smp,,,
103025,내송,103,출구-2,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114614/2/media.smp,,,
103026,내송,103,G-1,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114615/2/media.smp,,,
103027,내송,103,G-2,7.103.3.22,rtsp://7.103.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114616/2/media.smp,,,
