idx,station_name,station_id,camera_name,camera_ipaddr,nvr_rtsp_url,manufacturer,model,status
447,양산중앙,105,PSD-U1-1,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114403/2/media.smp,,,
449,양산중앙,105,PSD-U1-2,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114404/2/media.smp,,,
451,양산중앙,105,PSD-U2-1,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114405/2/media.smp,,,
453,양산중앙,105,PSD-U2-2,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114406/2/media.smp,,,
455,양산중앙,105,PSD-D1-1,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114407/2/media.smp,,,
457,양산중앙,105,PSD-D1-2,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114408/2/media.smp,,,
459,양산중앙,105,PSD-D2-1,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114409/2/media.smp,,,
461,양산중앙,105,PSD-D2-2,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114410/2/media.smp,,,
463,양산중앙,105,P-U1,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114411/2/media.smp,,,
465,양산중앙,105,P-U2,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114412/2/media.smp,,,
467,양산중앙,105,P-D1,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114413/2/media.smp,,,
469,양산중앙,105,P-D2,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114414/2/media.smp,,,
471,양산중앙,105,상선 출입구(상행),7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114415/2/media.smp,,,
473,양산중앙,105,상선 출입구(하행),7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114416/2/media.smp,,,
475,양산중앙,105,하선 출입구(하행),7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114417/2/media.smp,,,
477,양산중앙,105,출구-1,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114418/2/media.smp,,,
479,양산중앙,105,출구-2,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114419/2/media.smp,,,
481,양산중앙,105,G-1,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114420/2/media.smp,,,
483,양산중앙,105,G-2,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114421/2/media.smp,,,
485,양산중앙,105,G-3,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114422/2/media.smp,,,
487,양산중앙,105,G-4,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114423/2/media.smp,,,
489,양산중앙,105,변전실-1,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114424/2/media.smp,,,
491,양산중앙,105,변전실-2,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114425/2/media.smp,,,
493,양산중앙,105,변전실-3,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114426/2/media.smp,,,
495,양산중앙,105,통신기기실,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114427/2/media.smp,,,
497,양산중앙,105,신호기기실,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114428/2/media.smp,,,
499,양산중앙,105,발매기/Gate,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114429/2/media.smp,,,
501,양산중앙,105,발매기실,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114430/2/media.smp,,,
503,양산중앙,105,화장실/수유실,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114431/2/media.smp,,,
505,양산중앙,105,E/L-1 지상,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114432/2/media.smp,,,
507,양산중앙,105,E/L-1 대합실,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114433/2/media.smp,,,
509,양산중앙,105,E/L-2 지상,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114434/2/media.smp,,,
511,양산중앙,105,E/L-2 대합실,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114435/2/media.smp,,,
513,양산중앙,105,E/L-3 환승,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114436/2/media.smp,,,
515,양산중앙,105,E/L-3 대합,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114437/2/media.smp,,,
517,양산중앙,105,E/L-4 대합,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114438/2/media.smp,,,
519,양산중앙,105,E/L-4 승강장,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114439/2/media.smp,,,
521,양산중앙,105,E/S-1 대합,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114440/2/media.smp,,,
523,양산중앙,105,E/S-1 환승,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114441/2/media.smp,,,
525,양산중앙,105,E/S-2 지상,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114442/2/media.smp,,,
527,양산중앙,105,E/S-2 대합,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114443/2/media.smp,,,
529,양산중앙,105,E/S-3 대합,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114444/2/media.smp,,,
531,양산중앙,105,E/S-3 승강장,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114445/2/media.smp,,,
533,양산중앙,105,E/S-4 대합,7.105.3.22,rtsp://7.105.3.22:4515/94d0d42f-9ccc-42aa-9e59-d4ddd2114446/2/media.smp,,,
