번호,역사,시스템명,시스템종류,URL,IP,PORT,ID,PW,ACTIVE,MODBUS_UNIT_ID,MODBUS_REGISTER,MODBUS_VALUE,MODBUS_ON_VALUE,MODBUS_OFF_VALUE,COMMENT
1,100,TNMS01,TN,,7.254.20.25,8883,,,A,,,,,,TNMS01(TN)
2,101,역사자동방송서버,BC,,7.101.7.61,49890,,,A,,,,,,자동 방송 시스템(BC)
3,102,역사자동방송서버,BC,,7.102.7.61,49890,,,A,,,,,,자동 방송 시스템(BC)
4,103,역사자동방송서버,BC,,7.103.7.61,49890,,,A,,,,,,자동 방송 시스템(BC)
5,104,역사자동방송서버,BC,,7.104.7.61,49890,,,A,,,,,,자동 방송 시스템(BC)
6,105,역사자동방송서버,BC,,7.105.7.61,49890,,,A,,,,,,자동 방송 시스템(BC)
7,106,역사자동방송서버,BC,,7.106.7.61,49890,,,A,,,,,,자동 방송 시스템(BC)
8,107,역사자동방송서버,BC,,7.107.7.61,49890,,,A,,,,,,자동 방송 시스템(BC)
9,101,엘리베이터_101_1호기_하층,EL,,7.101.20.31,4001,,,S,1,10003,1,1,0,E/L-1호기-대합(EL)
10,101,엘리베이터_101_1호기_상층,EL,,7.101.20.31,4001,,,S,1,10004,1,1,0,E/L-1호기-승강(EL)
11,102,엘리베이터_102_1호기_하층,EL,,7.102.20.31,4001,,,A,1,10003,1,1,0,E/L-1호기-대합(EL)
12,102,엘리베이터_102_1호기_상층,EL,,7.102.20.31,4001,,,A,1,10004,1,1,0,E/L-1호기-승강(EL)
13,103,엘리베이터_103_1호기_하층,EL,,7.103.20.31,4001,,,A,1,10003,1,1,0,E/L-1호기-대합(EL)
14,103,엘리베이터_103_1호기_상층,EL,,7.103.20.31,4001,,,A,1,10004,1,1,0,E/L-1호기-승강(EL)
15,104,엘리베이터_104_1호기_하층,EL,,7.104.20.31,4001,,,A,1,10003,1,1,0,E/L-2호기-승강(승강장)
16,104,엘리베이터_104_1호기_상층,EL,,7.104.20.31,4001,,,A,1,10004,1,1,0,E/L-2호기-대합(EL)
17,105,엘리베이터_105_1호기_하층,EL,,7.105.20.31,4001,,,A,1,10003,1,1,0,E/L-4호기-대합(EL)
18,105,엘리베이터_105_1호기_하층,EL,,7.105.20.31,4001,,,A,1,10004,1,1,0,E/L-4호기-승강(EL)
19,106,엘리베이터_107_1호기_하층,EL,,7.106.20.31,4001,,,A,1,10003,1,1,0,E/L-1-대합(EL)
20,106,엘리베이터_107_1호기_하층,EL,,7.106.20.31,4001,,,A,1,10004,1,1,0,E/L-1호기-승강(EL)
21,107,엘리베이터_107_1호기_하층,EL,,7.107.20.31,4001,,,A,1,10003,1,1,0,E/L-1-대합(EL)
22,107,엘리베이터_107_1호기_하층,EL,,7.107.20.31,4001,,,A,1,10004,1,1,0,E/L-1호기-승강(EL)
